anno;rilevatore;mese;giorno_settimana;fascia_oraria;comune;nome_strada;tipo_luogo;indirizzo;lon;lat;kmt_etm;fondo;segnaletica;meteo;natura;des_circ_a;des_circ_b;veicolo_a;avaria_a;des_psico_a;veicolo_b;avaria_b;des_psico_b;veicolo_c;veicoli_oltre_a_b_c;pedoni_morti_feriti;tot_morti;tot_feriti
2019;Polizia Municipale;2;Lunedì;Pomeriggio;PIOVENE ROCCHETTE;SP 349 Costo;Intersezione non segnalata;VIA GORIZIA INCROCIO VIA STADIO;11.4363910;45.7563919;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza dare la precedenza al veicolo proveniente da destra;;Autovettura privata;;;Ciclomotore;;;;0;0;0;2
2019;Carabiniere;12;Sabato;Pomeriggio;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Rettilineo;VIA TRIESTE AL KM. 55.5;11.4382630;45.7578550;55.5;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva regolarmente;;Autovettura privata;;;Autovettura privata;;;Autovettura privata;1;0;0;3
2019;Polizia Municipale;10;Sabato;Sera;ISOLA VICENTINA;SP 046 Pasubio;Rettilineo;VIA PASUBIO FRONTE PARCHEGGIO CHIESA;11.4412349;45.6299332;0;Asciutto;Assente;Sereno;Tamponamento;Procedeva regolarmente;;Autovettura privata;;;Autovettura privata;;;;0;0;0;2
2019;Polizia Municipale;2;Venerdì;Mattino;ISOLA VICENTINA;SP 046 Pasubio;Rettilineo;VIA MARCONI, 76;11.4426300;45.6289300;0;Asciutto;Assente;Sereno;Investimento di pedoni;Non dava la precedenza al pedone sugli appositi attraversamenti;Attraversava ad un passaggio pedonale non protetto da semaforo o agente;Autovettura privata;;;;;;;0;1;0;1
2019;Polizia Municipale;10;Sabato;Pomeriggio;PIOVENE ROCCHETTE;SP 349 Costo;Rettilineo;VIA FOGAZZARO, 8/D;11.4429551;45.7600333;0;Asciutto;Assente;Sereno;Fuoriuscita (veicolo in marcia senza urto);Sbandamento con fuoriuscita per guida distratta;Senza ostacolo, né pedone né altro veicolo;Autovettura privata;;;;;;;0;0;0;1
2019;Polizia Municipale;3;Domenica;Pomeriggio;ZANE';SP 349 Costo;Incrocio;VIA SUMMANO VIA KENNEDY;11.4483012;45.7275532;0;Asciutto;;Altro;Scontro-laterale;Sorpassava all'incrocio (art.148);;Motociclo a solo;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;3;Venerdì;Sera;ZANE';SP 349 Costo;Incrocio;VIA BATTISTI CESARE VIA MANZONI;11.4588814;45.7158477;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza rispettare le segnalazioni semaforiche o dell'agente;;Autovettura privata;;;Motociclo a solo;;;;0;0;0;1
2019;Polizia Municipale;3;Venerdì;Pomeriggio;ISOLA VICENTINA;SP 046 Pasubio;Rettilineo;"VIA VICENZA PRESSO DISTRIBUTORE ""TAMOIL""";11.4641800;45.6168800;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Sorpassava regolarmente;;Motociclo a solo;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;2;Venerdì;Sera;THIENE;SP 349 Costo;Incrocio;VIA CA' BEREGANE VIA LAMPERTICO;11.4845943;45.6843591;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Sorpassava all'incrocio (art.148);;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;2;Venerdì;Pomeriggio;THIENE;SP 349 Costo;Rettilineo;VIA SANTO VIA DELLA PIEVE;11.4871235;45.6763047;0;Asciutto;Assente;Sereno;Tamponamento;Procedeva senza mantenere la distanza di sicurezza (art.149);;Autosnodato o autoarticolato;;;Autovettura privata;;;Autovettura privata;0;0;0;2
2019;Carabiniere;10;Martedì;Mattino;THIENE;SP 349 Costo;Incrocio;VIA SANTO INCROCIO VIA DON ZILIOTTO;11.4876215;45.6747008;0;Asciutto;Assente;Sereno;Scontro-laterale;Procedeva regolarmente senza svoltare;;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;11;Martedì;Mattino;THIENE;SP 349 Costo;Rettilineo;VIA SANTO;11.4891083;45.6700855;0;Bagnato;Orizzontale;Pioggia;Fuoriuscita (veicolo in marcia senza urto);;Senza ostacolo, né pedone né altro veicolo;Autovettura privata;;Anormale per ebbrezza da alcool (art. 186);;;;;0;0;0;1
2019;Carabiniere;10;Sabato;Pomeriggio;CALDOGNO;SP 349 Costo;Intersezione segnalata;STRADA STATALE PASUBIO INCROCIO VIA SETTE;11.4904599;45.6136232;0;Asciutto;Assente;Sereno;Scontro-laterale;Procedeva regolarmente senza svoltare;;Autovettura privata;;;Velocipede;;;;0;0;0;1
2019;Polizia Municipale;10;Martedì;Mattino;COSTABISSARA;SP 046 Pasubio;Rettilineo;VIA ROVERETO AL KM. 8.15;11.4911300;45.6049000;8.15;Asciutto;Assente;Sereno;Tamponamento;Procedeva senza mantenere la distanza di sicurezza (art.149);;Autovettura privata;;;Autovettura privata;;;Autovettura privata;0;0;0;2
2019;Polizia Municipale;12;Sabato;Sera;VILLAVERLA;SP 349 Costo;Curva;VIA CAPOVILLA;11.4921459;45.6620499;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva contromano (art.143);;Autovettura privata;;;Autovettura privata;;;Autovettura privata;0;0;0;2
2019;Polizia Stradale;12;Giovedì;Pomeriggio;VILLAVERLA;SP 349 Costo;Intersezione segnalata;VIA CAPOVILLA;11.4926490;45.6590930;0;Bagnato;Orizzontale;Pioggia;Tamponamento;Svoltava a sinistra regolarmente;;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;3;Mercoledì;Pomeriggio;VILLAVERLA;SP 349 Costo;Rettilineo;VIA ROMA;11.4927176;45.6422437;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva non in prossimità del margine destro della carreggiata;;Velocipede;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;12;Mercoledì;Mattino;VILLAVERLA;SP 349 Costo;Incrocio;VIA ROMA VIA TRIESTE;11.4935786;45.6490861;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza rispettare il segnale di dare precedenza  (art.145);;Autovettura privata;;;Ciclomotore;;;;0;0;0;1
2019;Polizia Municipale;2;Giovedì;Sera;VILLAVERLA;SP 349 Costo;Incrocio;VIA ROMA VIA MILANO;11.4935892;45.6490924;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza dare la precedenza al veicolo proveniente da destra;;Autovettura privata;;;Ciclomotore;Mancanza o insufficenza dei fari o delle luci posizione;;;0;0;0;1
